Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,2.7,45.1
1.0,69.9,3.0,45.1
2.0,75.0,3.0,45.1
3.0,75.3,3.0,45.1
4.0,76.3,3.0,45.1
5.0,76.2,3.0,45.1
6.0,75.3,3.0,45.1
7.0,75.3,3.0,45.1
8.0,73.7,3.0,45.1
9.0,75.2,3.0,45.1
10.0,75.1,3.0,45.1
11.0,74.8,3.0,45.1
12.0,75.2,3.0,45.1
13.0,75.1,3.0,45.1
14.0,75.2,3.0,45.1
15.0,75.4,3.0,45.1
16.0,75.0,3.0,45.1
17.0,75.1,3.0,45.1
18.0,74.1,3.0,45.1
19.0,75.4,3.0,45.1
20.0,75.2,3.0,45.1
21.0,74.6,3.0,45.1
22.0,74.9,3.0,45.1
23.0,72.7,3.0,45.1
24.0,75.3,3.0,45.1
25.0,75.2,3.0,45.1
26.0,75.2,3.0,45.1
27.0,74.8,3.0,45.1
28.0,75.2,3.0,45.1
29.0,75.2,3.0,45.1
30.0,75.1,3.0,45.1
31.0,75.2,3.0,45.1
32.0,75.3,3.0,45.1
33.0,70.5,3.0,45.1
34.0,75.0,3.0,45.1
35.0,75.2,3.0,45.1
36.0,75.0,3.0,45.1
37.0,75.0,3.0,45.1
38.0,75.2,3.0,45.1
39.0,75.1,3.0,45.1
40.0,75.3,3.0,45.1
41.0,75.1,3.0,45.1
42.0,75.2,3.0,45.1
43.0,73.5,3.0,45.1
44.0,74.6,3.0,45.1
45.0,74.9,3.0,45.1
46.01,74.8,3.0,45.1
47.01,74.9,3.0,45.1
48.01,74.8,3.0,45.1
49.01,74.8,3.0,45.1
50.01,74.8,3.0,45.1
51.01,75.0,3.0,45.1
52.01,74.9,3.0,45.1
53.01,74.8,3.0,45.1
54.01,74.9,3.0,45.1
55.01,75.2,3.0,45.1
56.01,75.2,3.0,45.1
57.01,75.1,3.0,45.1
58.01,75.1,3.0,45.1
59.01,75.1,3.0,45.1
60.01,75.0,3.0,45.1
61.01,75.1,3.0,45.1
62.01,74.9,3.0,45.1
63.01,75.3,3.0,45.1
64.01,75.1,3.0,45.1
65.01,75.1,3.0,45.1
66.01,75.0,3.0,45.1
67.01,74.9,3.0,45.1
68.01,75.0,3.0,45.1
69.01,75.1,3.0,45.1
70.01,74.9,3.0,45.1
71.01,75.3,3.0,45.1
72.01,75.0,3.0,45.1
73.01,75.0,3.0,45.1
74.01,75.0,3.0,45.1
75.01,75.0,3.0,45.1
76.01,75.1,3.0,45.1
77.01,75.0,3.0,45.1
78.01,75.2,3.0,45.1
79.01,75.0,3.0,45.1
80.01,75.1,3.0,45.1
81.01,75.1,3.0,45.1
82.01,75.0,3.0,45.1
83.01,75.0,3.0,45.1
84.01,74.5,3.0,45.1
85.01,75.4,3.0,45.1
86.01,75.3,3.0,45.1
87.01,74.8,3.0,45.1
88.01,75.2,3.0,45.1
89.01,74.9,3.0,45.1
90.01,74.6,3.0,45.1
91.01,75.0,3.0,45.1
92.01,74.7,3.0,45.1
93.01,75.3,3.0,45.1
94.01,74.8,3.0,45.1
95.01,74.6,3.0,45.1
96.01,75.2,3.0,45.1
97.01,75.1,3.0,45.1
98.01,74.9,3.0,45.1
99.01,75.1,3.0,45.1
100.01,74.8,3.0,45.1
101.01,75.0,3.0,45.1
102.01,75.1,3.0,45.1
103.01,75.4,3.0,45.1
104.01,75.2,3.0,45.1
105.01,74.6,3.0,45.1
106.01,74.8,3.0,45.1
107.01,75.3,3.0,45.1
108.01,74.8,3.0,45.1
109.01,75.0,3.0,45.1
110.01,75.3,3.0,45.1
111.01,75.5,3.0,45.1
112.01,75.3,3.0,45.1
113.01,74.2,3.0,45.1
114.01,75.5,3.0,45.1
115.01,75.1,3.0,45.1
116.01,75.1,3.0,45.1
117.01,74.9,3.0,45.1
118.01,74.6,3.0,45.1
119.01,75.3,3.0,45.1
120.01,75.2,3.0,45.1
121.01,75.4,3.0,45.1
122.01,75.4,3.0,45.1
123.01,74.7,3.0,45.1
124.01,75.1,3.0,45.1
125.01,75.1,3.0,45.1
126.01,74.9,3.0,45.1
127.01,74.5,3.0,45.1
128.01,74.8,3.0,45.1
129.01,75.2,3.0,45.1
130.01,74.9,3.0,45.1
131.01,75.0,3.0,45.1
132.01,75.2,3.0,45.1
133.01,74.8,3.0,45.1
134.01,74.0,3.0,45.1
135.01,75.2,3.0,45.1
136.01,74.6,3.0,45.1
137.01,75.2,3.0,45.1
138.01,74.8,3.0,45.1
139.01,75.3,3.0,45.1
140.01,75.1,3.0,45.1
141.01,70.4,3.0,45.1
142.01,69.8,3.0,45.1
143.01,75.0,3.0,45.1
144.01,74.5,3.1,45.1
145.01,74.4,3.0,45.1
146.01,74.2,3.0,45.1
147.01,73.0,3.0,45.1
148.01,69.1,3.0,45.1
149.01,74.1,3.0,45.1
150.01,71.5,3.0,45.1
151.01,69.1,3.0,45.1
152.01,73.5,3.0,45.1
153.01,74.8,3.0,45.1
154.01,74.6,3.0,45.1
155.01,74.6,3.0,45.1
156.01,75.3,3.0,45.1
157.01,74.7,3.0,45.1
158.01,71.1,3.0,45.1
159.01,62.9,3.0,45.1
160.01,75.3,3.0,45.1
161.01,70.8,3.0,45.1
162.01,74.7,3.0,45.1
163.01,75.3,3.0,45.1
164.01,75.0,3.0,45.1
165.01,75.4,3.0,45.1
166.01,75.2,3.0,45.1
167.01,74.8,3.0,45.1
168.01,75.3,3.0,45.1
169.01,74.9,3.0,45.1
170.01,75.2,3.0,45.1
171.02,75.4,3.0,45.1
172.02,75.1,3.0,45.1
173.02,74.7,3.0,45.1
174.02,74.3,3.0,45.1
175.02,75.2,3.0,45.1
176.02,74.8,3.0,45.1
177.02,75.3,3.0,45.1
178.02,74.7,3.0,45.1
179.02,71.0,3.0,45.1
180.02,75.3,3.0,45.1
181.02,74.6,3.0,45.1
182.02,75.2,3.0,45.1
183.02,74.8,3.0,45.1
184.02,74.8,3.0,45.1
185.02,74.9,3.0,45.1
186.02,74.9,3.0,45.1
187.02,75.2,3.0,45.1
188.02,75.0,3.0,45.1
189.02,69.6,3.0,45.1
190.02,75.3,3.0,45.1
191.02,74.4,3.0,45.1
192.02,75.0,3.0,45.1
193.02,74.7,3.0,45.1
194.02,74.8,3.0,45.1
195.02,75.2,3.0,45.1
196.02,73.6,3.0,45.1
197.02,10.8,3.0,45.1
198.02,46.1,3.0,45.1
199.02,75.1,3.0,45.1
200.02,75.4,3.0,45.1
201.02,75.1,3.0,45.1
202.02,74.8,3.0,45.1
203.02,75.2,3.0,45.1
204.02,74.7,3.0,45.1
205.02,75.1,3.0,45.1
206.02,75.4,3.0,45.1
207.02,75.2,3.0,45.1
208.02,75.2,3.0,45.1
209.02,74.9,3.0,45.1
210.02,75.2,3.0,45.1
211.02,74.8,3.0,45.1
212.02,75.2,3.0,45.1
213.02,75.2,3.0,45.1
214.02,75.3,3.0,45.1
215.02,75.2,3.0,45.1
216.02,75.2,3.0,45.1
217.02,75.2,3.0,45.1
218.02,74.6,3.0,45.1
219.02,75.3,3.0,45.1
220.02,75.3,3.0,45.1
221.02,74.9,3.0,45.1
222.02,75.3,3.0,45.1
223.02,75.0,3.0,45.1
224.02,75.2,3.0,45.1
225.02,74.4,3.0,45.1
226.02,75.2,3.0,45.1
227.02,74.9,3.0,45.1
228.02,75.2,3.0,45.1
229.02,75.3,3.0,45.1
230.02,74.8,3.0,45.1
231.02,75.4,3.0,45.1
232.02,74.4,3.0,45.1
233.02,75.0,3.0,45.1
234.02,75.3,3.0,45.1
235.02,74.4,3.0,45.1
236.02,75.2,3.0,45.1
237.02,74.8,3.0,45.1
238.02,75.2,3.0,45.1
239.02,75.3,3.0,45.1
240.02,74.8,3.0,45.1
241.02,74.9,3.0,45.1
242.02,75.2,3.0,45.1
243.02,75.3,3.0,45.1
244.02,75.1,3.0,45.1
245.02,75.0,3.0,45.1
246.02,75.4,3.0,45.1
247.02,75.2,3.0,45.1
248.02,74.6,3.0,45.1
249.02,70.9,3.0,45.1
250.02,75.1,3.0,45.1
251.02,75.4,3.0,45.1
252.02,75.1,3.0,45.1
253.02,75.3,3.0,45.1
254.02,75.3,3.0,45.1
255.02,75.0,3.0,45.1
256.02,74.6,3.0,45.1
257.02,75.1,3.0,45.1
258.02,75.4,3.0,45.1
259.02,74.8,3.0,45.1
260.02,75.2,3.0,45.1
261.02,75.4,3.0,45.1
262.02,75.1,3.0,45.1
263.02,75.1,3.0,45.1
264.02,74.9,3.0,45.1
265.02,75.3,3.0,45.1
266.02,75.0,3.0,45.1
267.02,75.3,3.0,45.1
268.02,75.0,3.0,45.1
269.02,75.3,3.0,45.1
270.02,75.2,3.0,45.1
271.02,74.7,3.0,45.1
272.02,75.2,3.0,45.1
273.02,75.3,3.0,45.1
274.02,75.2,3.0,45.1
275.02,75.3,3.0,45.1
276.02,75.0,3.0,45.1
277.02,75.3,3.0,45.1
278.02,75.1,3.0,45.1
279.02,75.2,3.0,45.1
280.02,75.0,3.0,45.1
281.02,75.2,3.0,45.1
282.02,75.2,3.0,45.1
283.02,75.3,3.0,45.1
284.02,75.1,3.0,45.1
285.02,75.3,3.0,45.1
286.02,75.1,3.0,45.1
287.02,75.2,3.0,45.1
288.02,75.1,3.0,45.1
289.02,75.0,3.0,45.1
290.02,74.5,3.0,45.1
291.02,74.3,3.0,45.1
292.02,75.1,3.0,45.1
293.02,75.4,3.0,45.1
294.02,74.8,3.0,45.1
295.02,75.2,3.0,45.1
296.02,74.7,3.0,45.1
297.03,74.8,3.0,45.1
298.03,75.6,3.0,45.1
299.03,75.1,3.0,45.1
300.03,74.9,3.0,45.1
301.03,75.1,3.0,45.1
302.03,75.2,3.0,45.1
303.03,74.6,3.0,45.1
304.03,75.2,3.0,45.1
305.03,74.2,3.0,45.1
306.03,75.2,3.0,45.1
307.03,75.5,3.0,45.1
308.03,75.1,3.0,45.1
309.03,75.2,3.0,45.1
310.03,74.9,3.0,45.1
311.03,74.7,3.0,45.1
312.03,74.6,3.0,45.1
313.03,75.3,3.0,45.1
314.03,75.2,3.0,45.1
315.03,74.8,3.0,45.1
316.03,75.3,3.0,45.1
317.03,74.7,3.0,45.1
318.03,74.4,3.0,45.1
319.03,75.1,3.0,45.1
320.03,74.9,3.0,45.1
321.03,74.5,3.0,45.1
322.03,74.2,3.0,45.1
323.03,75.5,3.0,45.1
324.03,74.1,3.0,45.1
325.03,75.1,3.0,45.1
326.03,74.7,3.0,45.1
327.03,74.8,3.0,45.1
328.03,74.4,3.0,45.1
329.03,74.8,3.0,45.1
330.03,75.6,3.0,45.1
331.03,74.9,3.0,45.1
332.03,74.6,3.0,45.1
333.03,74.6,3.0,45.1
334.03,74.3,3.0,45.1
335.03,74.8,3.0,45.1
336.03,75.2,3.0,45.1
337.03,74.6,3.0,45.1
338.03,75.0,3.0,45.1
339.03,75.1,3.0,45.1
340.03,75.3,3.0,45.1
341.03,74.6,3.0,45.1
342.03,74.4,3.0,45.1
343.03,73.9,3.0,45.1
344.03,75.3,3.0,45.1
345.03,74.6,3.0,45.1
346.03,74.7,3.0,45.1
347.03,75.3,3.0,45.1
348.03,75.2,3.0,45.1
349.03,74.2,3.0,45.1
350.03,72.4,3.0,45.1
351.03,75.1,3.0,45.1
352.03,74.8,3.0,45.1
353.03,75.0,3.0,45.1
354.03,74.5,3.0,45.1
355.03,75.0,3.0,45.1
356.03,75.3,3.0,45.1
357.03,75.2,3.0,45.1
358.03,74.8,3.0,45.1
359.03,75.1,3.0,45.1
360.03,75.2,3.0,45.1
361.03,75.1,3.0,45.1
362.03,74.7,3.0,45.1
363.03,75.0,3.0,45.1
364.03,75.2,3.0,45.1
365.03,74.7,3.0,45.1
366.03,75.1,3.0,45.1
